time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-04 00:00:00+00:00,,,21,7
2022-07-05 00:00:00+00:00,,,30,7
2022-07-06 00:00:00+00:00,,,16,9
2022-07-07 00:00:00+00:00,,,20,7
2022-07-08 00:00:00+00:00,1.0,1.0,36,8
2022-07-09 00:00:00+00:00,,,27,10
2022-07-10 00:00:00+00:00,,,18,9
2022-07-11 00:00:00+00:00,,,10,5
2022-07-12 00:00:00+00:00,,,7,4
2022-07-13 00:00:00+00:00,,,22,7
2022-07-14 00:00:00+00:00,,,38,10
2022-07-15 00:00:00+00:00,,,22,7
2022-07-16 00:00:00+00:00,,,30,4
2022-07-17 00:00:00+00:00,,,39,8
