referrer,views_total,views_unique
anticope.ml,332,90
github.com,126,29
javarepos.com,106,35
DuckDuckGo,15,6
Google,14,4
Bing,2,2
meteor-addons-website.vercel.app,2,1
cn.bing.com,1,1
github.innominds.com,1,1
