url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,104,67
/Declipsonator/Meteor-Tweaks/releases,32,22
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,22,17
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,14,4
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,11,5
/Declipsonator/Meteor-Tweaks/tree/main/src/main,10,5
/Declipsonator/Meteor-Tweaks/issues,7,5
/Declipsonator/Meteor-Tweaks/tree/v2.0.1,4,2
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/utils/GithubUtils.java,4,1
/Declipsonator/Meteor-Tweaks/issues/11,3,3
