referrer,views_total,views_unique
anticope.ml,300,79
github.com,120,28
javarepos.com,93,32
Google,14,4
DuckDuckGo,11,4
Bing,5,4
meteor-addons-website.vercel.app,2,1
cn.bing.com,1,1
github.innominds.com,1,1
