url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,273,143
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.0,140,98
/Declipsonator/Meteor-Tweaks/releases,120,78
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,43,13
/Declipsonator/Meteor-Tweaks/tree/main/src/main,40,15
/Declipsonator/Meteor-Tweaks/issues,37,31
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,30,7
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,24,8
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,14,10
/Declipsonator/Meteor-Tweaks/pulls,14,6
