url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,209,119
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,110,78
/Declipsonator/Meteor-Tweaks/releases,59,46
/Declipsonator/Meteor-Tweaks/tree/main,21,15
/Declipsonator/Meteor-Tweaks/tree/main/src/main,15,10
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,14,10
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,14,7
/Declipsonator/Meteor-Tweaks/issues,13,9
/Declipsonator/Meteor-Tweaks/tree/v2.0.1,5,5
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/modules/Scaffold.java,5,3
