time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-23 00:00:00+00:00,,,5,3
2022-07-24 00:00:00+00:00,,,16,7
2022-07-25 00:00:00+00:00,,,120,5
2022-07-26 00:00:00+00:00,,,18,7
2022-07-27 00:00:00+00:00,,,7,2
2022-07-28 00:00:00+00:00,,,34,7
2022-07-29 00:00:00+00:00,,,22,4
2022-07-30 00:00:00+00:00,,,8,4
2022-07-31 00:00:00+00:00,1.0,1.0,6,5
2022-08-01 00:00:00+00:00,1.0,1.0,3,3
2022-08-02 00:00:00+00:00,2.0,1.0,9,4
2022-08-03 00:00:00+00:00,,,8,4
2022-08-04 00:00:00+00:00,1.0,1.0,7,3
2022-08-05 00:00:00+00:00,,,33,6
