url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,274,177
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.0,171,127
/Declipsonator/Meteor-Tweaks/releases,102,55
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,27,16
/Declipsonator/Meteor-Tweaks/tree/main/src/main,25,17
/Declipsonator/Meteor-Tweaks/issues,24,23
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,16,13
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,15,4
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,12,3
/Declipsonator/Meteor-Tweaks/find/main,9,5
