url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,653,301
/Declipsonator/Meteor-Tweaks/releases,233,117
/Declipsonator/Meteor-Tweaks/releases/tag/v1.1.9,196,140
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,54,18
/Declipsonator/Meteor-Tweaks/releases/tag/v1.1.8,53,43
/Declipsonator/Meteor-Tweaks/issues,50,22
/Declipsonator/Meteor-Tweaks/releases/tag/v1.1.7,42,26
/Declipsonator/Meteor-Tweaks/tree/main/src/main,37,18
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,35,13
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,21,3
