url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,396,236
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.0,236,159
/Declipsonator/Meteor-Tweaks/releases,122,75
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,32,16
/Declipsonator/Meteor-Tweaks/tree/main/src/main,25,16
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,16,13
/Declipsonator/Meteor-Tweaks/issues,16,12
/Declipsonator/Meteor-Tweaks/commits/main,15,3
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,14,3
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,12,1
