referrer,views_total,views_unique
anticope.ml,80,26
github.com,15,7
javarepos.com,12,6
bytemeta.vip,6,1
Google,4,3
Bing,4,3
hub.fastgit.xyz,4,1
cn.bing.com,3,2
Yahoo,2,1
