url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,203,112
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,109,70
/Declipsonator/Meteor-Tweaks/releases,60,27
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,21,10
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,18,8
/Declipsonator/Meteor-Tweaks/tree/main/src/main,16,10
/Declipsonator/Meteor-Tweaks/issues,13,8
/Declipsonator/Meteor-Tweaks/tree/main,10,6
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,8,5
/Declipsonator/Meteor-Tweaks/commit/9cd9cfa83ed8a6ff2ed37e46a034a71cec39e6cf,6,3
