referrer,views_total,views_unique
anticope.ml,94,26
github.com,15,8
javarepos.com,9,5
bytemeta.vip,6,1
Google,4,3
hub.fastgit.xyz,4,1
cn.bing.com,3,2
Bing,2,1
search.brave.com,2,1
