referrer,views_total,views_unique
anticope.ml,150,38
javarepos.com,37,23
github.com,37,16
DuckDuckGo,6,2
Google,3,2
meteor-addons-website.vercel.app,2,1
au.search.yahoo.com,1,1
Bing,1,1
