url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,95,67
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,39,29
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,33,13
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,23,12
/Declipsonator/Meteor-Tweaks/releases,19,13
/Declipsonator/Meteor-Tweaks/tree/main/src/main,18,13
/Declipsonator/Meteor-Tweaks/issues,9,5
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/commands,9,5
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/utils,8,1
/Declipsonator/Meteor-Tweaks/tags,7,1
