url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,103,66
/Declipsonator/Meteor-Tweaks/releases,41,23
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,30,21
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,13,7
/Declipsonator/Meteor-Tweaks/tree/main/src/main,11,7
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,10,6
/Declipsonator/Meteor-Tweaks/issues,7,5
/Declipsonator/Meteor-Tweaks/tree/v2.0.1,6,2
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/modules/Scaffold.java,5,3
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/utils/GithubUtils.java,4,1
