referrer,views_total,views_unique
anticope.ml,109,28
javarepos.com,13,7
github.com,10,4
bytemeta.vip,6,1
Bing,5,4
hub.fastgit.xyz,4,1
cn.bing.com,3,2
Google,3,2
Yahoo,2,1
