url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,57,40
/Declipsonator/Meteor-Tweaks/releases,19,12
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,18,15
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,13,2
/Declipsonator/Meteor-Tweaks/issues,10,2
/Declipsonator/Meteor-Tweaks/tree/main/src/main,3,2
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,3,2
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/hud,3,1
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,3,1
/Declipsonator/Meteor-Tweaks/issues/18,2,2
