referrer,views_total,views_unique
anticope.ml,95,36
javarepos.com,35,22
github.com,32,13
DuckDuckGo,6,2
Google,2,1
meteor-addons-website.vercel.app,2,1
au.search.yahoo.com,1,1
Bing,1,1
