url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,193,118
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,97,72
/Declipsonator/Meteor-Tweaks/releases,77,56
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,29,8
/Declipsonator/Meteor-Tweaks/tree/main,19,15
/Declipsonator/Meteor-Tweaks/issues,16,10
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,13,6
/Declipsonator/Meteor-Tweaks/tree/main/src/main,11,8
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,7,3
/Declipsonator/Meteor-Tweaks/issues/11,5,5
