url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,209,123
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,112,79
/Declipsonator/Meteor-Tweaks/releases,67,49
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,35,12
/Declipsonator/Meteor-Tweaks/tree/main,22,16
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,22,9
/Declipsonator/Meteor-Tweaks/tree/main/src/main,18,12
/Declipsonator/Meteor-Tweaks/issues,13,9
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,9,4
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/modules/Scaffold.java,6,4
