url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,257,137
/Declipsonator/Meteor-Tweaks/releases,174,108
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.0,81,60
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,78,45
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,38,11
/Declipsonator/Meteor-Tweaks/tree/main/src/main,34,12
/Declipsonator/Meteor-Tweaks/issues,29,24
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,26,5
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,19,7
/Declipsonator/Meteor-Tweaks/commit/26e390859158333d8b8dfaaf75d137357ea38eee,13,9
