url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,92,65
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,33,26
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,30,12
/Declipsonator/Meteor-Tweaks/releases,21,14
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,20,11
/Declipsonator/Meteor-Tweaks/tree/main/src/main,16,12
/Declipsonator/Meteor-Tweaks/issues,8,4
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/commands,8,4
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/utils,8,1
/Declipsonator/Meteor-Tweaks/tags,7,1
