url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,587,299
/Declipsonator/Meteor-Tweaks/releases/tag/v1.1.9,187,139
/Declipsonator/Meteor-Tweaks/releases,151,96
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.0,43,28
/Declipsonator/Meteor-Tweaks/issues,43,19
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,34,14
/Declipsonator/Meteor-Tweaks/tree/main/src/main,33,14
/Declipsonator/Meteor-Tweaks/tree/v1.1.9,21,2
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,18,13
/Declipsonator/Meteor-Tweaks/issues/14,18,6
