url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,89,67
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,27,21
/Declipsonator/Meteor-Tweaks/releases,24,18
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,10,4
/Declipsonator/Meteor-Tweaks/tree/main/src/main,8,5
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,8,5
/Declipsonator/Meteor-Tweaks/issues,6,3
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/commands,3,1
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/modules/RideStats.java,2,2
/Declipsonator/Meteor-Tweaks/issues/18,2,2
