url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,112,67
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,59,42
/Declipsonator/Meteor-Tweaks/releases,22,16
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,21,6
/Declipsonator/Meteor-Tweaks/tree/main/src/main,13,7
/Declipsonator/Meteor-Tweaks/tree/main,11,6
/Declipsonator/Meteor-Tweaks/issues,10,5
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,9,4
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,8,3
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,7,3
