url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,264,144
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.0,152,107
/Declipsonator/Meteor-Tweaks/releases,80,52
/Declipsonator/Meteor-Tweaks/tree/main/src/main,43,17
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,42,15
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,32,6
/Declipsonator/Meteor-Tweaks/issues,30,29
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,28,7
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,16,12
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/tweaks,14,7
