time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-16 00:00:00+00:00,,,30,4
2022-07-17 00:00:00+00:00,,,39,8
2022-07-18 00:00:00+00:00,1.0,1.0,35,5
2022-07-19 00:00:00+00:00,,,74,9
2022-07-20 00:00:00+00:00,,,36,5
2022-07-21 00:00:00+00:00,,,17,6
2022-07-22 00:00:00+00:00,,,7,2
2022-07-23 00:00:00+00:00,,,5,3
2022-07-24 00:00:00+00:00,,,16,7
2022-07-25 00:00:00+00:00,,,120,5
2022-07-26 00:00:00+00:00,,,18,7
2022-07-27 00:00:00+00:00,,,7,2
2022-07-28 00:00:00+00:00,,,34,7
2022-07-29 00:00:00+00:00,,,22,4
