time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-03 00:00:00+00:00,,,64,16
2022-05-04 00:00:00+00:00,1.0,1.0,102,20
2022-05-05 00:00:00+00:00,,,49,13
2022-05-06 00:00:00+00:00,1.0,1.0,51,17
2022-05-07 00:00:00+00:00,,,65,17
2022-05-08 00:00:00+00:00,,,44,20
2022-05-09 00:00:00+00:00,,,23,13
2022-05-10 00:00:00+00:00,,,23,9
2022-05-11 00:00:00+00:00,,,25,12
2022-05-12 00:00:00+00:00,,,16,12
2022-05-13 00:00:00+00:00,1.0,1.0,28,12
2022-05-14 00:00:00+00:00,,,16,8
2022-05-15 00:00:00+00:00,2.0,2.0,91,15
2022-05-16 00:00:00+00:00,124.0,1.0,8,6
