url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,567,289
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.0,209,128
/Declipsonator/Meteor-Tweaks/releases,177,106
/Declipsonator/Meteor-Tweaks/releases/tag/v1.1.9,70,54
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,43,16
/Declipsonator/Meteor-Tweaks/tree/main/src/main,37,16
/Declipsonator/Meteor-Tweaks/issues,33,15
/Declipsonator/Meteor-Tweaks/search,26,3
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,20,14
/Declipsonator/Meteor-Tweaks/commits/main,20,7
