url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,264,144
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.0,151,105
/Declipsonator/Meteor-Tweaks/releases,82,50
/Declipsonator/Meteor-Tweaks/tree/main/src/main,40,16
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,39,14
/Declipsonator/Meteor-Tweaks/issues,28,27
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,25,6
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,25,6
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,13,11
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/tweaks,13,6
