time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-10 00:00:00+00:00,,,51,27
2022-03-11 00:00:00+00:00,2.0,1.0,114,29
2022-03-12 00:00:00+00:00,,,80,37
2022-03-13 00:00:00+00:00,1.0,1.0,130,45
2022-03-14 00:00:00+00:00,,,66,25
2022-03-15 00:00:00+00:00,,,71,27
2022-03-16 00:00:00+00:00,2.0,2.0,92,27
2022-03-17 00:00:00+00:00,,,72,25
2022-03-18 00:00:00+00:00,1.0,1.0,145,30
2022-03-19 00:00:00+00:00,69.0,9.0,250,53
2022-03-20 00:00:00+00:00,6.0,5.0,171,57
2022-03-21 00:00:00+00:00,,,52,25
2022-03-22 00:00:00+00:00,64.0,8.0,147,28
2022-03-23 00:00:00+00:00,5.0,3.0,118,36
