time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-27 00:00:00+00:00,,,22,9
2022-06-28 00:00:00+00:00,,,19,5
2022-06-29 00:00:00+00:00,1.0,1.0,33,5
2022-06-30 00:00:00+00:00,2.0,1.0,9,4
2022-07-01 00:00:00+00:00,,,7,6
2022-07-02 00:00:00+00:00,,,8,4
2022-07-03 00:00:00+00:00,,,4,2
2022-07-04 00:00:00+00:00,,,21,7
2022-07-05 00:00:00+00:00,,,30,7
2022-07-06 00:00:00+00:00,,,16,9
2022-07-07 00:00:00+00:00,,,20,7
2022-07-08 00:00:00+00:00,1.0,1.0,36,8
2022-07-09 00:00:00+00:00,,,27,10
2022-07-10 00:00:00+00:00,,,18,9
