url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,198,117
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,110,74
/Declipsonator/Meteor-Tweaks/releases,93,69
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,29,8
/Declipsonator/Meteor-Tweaks/tree/main,22,17
/Declipsonator/Meteor-Tweaks/issues,17,10
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,13,6
/Declipsonator/Meteor-Tweaks/tree/main/src/main,11,8
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,8,3
/Declipsonator/Meteor-Tweaks/issues/11,5,5
