referrer,views_total,views_unique
anticope.ml,271,63
github.com,89,29
javarepos.com,52,19
DuckDuckGo,7,5
Bing,5,4
Google,5,2
meteor-addons-website.vercel.app,2,1
cn.bing.com,1,1
Yahoo,1,1
