time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-09 00:00:00+00:00,1.0,1.0,7,7
2022-08-10 00:00:00+00:00,,,21,9
2022-08-11 00:00:00+00:00,,,50,7
2022-08-12 00:00:00+00:00,1.0,1.0,18,6
2022-08-13 00:00:00+00:00,,,21,6
2022-08-14 00:00:00+00:00,,,1,1
2022-08-15 00:00:00+00:00,,,8,5
2022-08-16 00:00:00+00:00,,,42,3
2022-08-17 00:00:00+00:00,,,9,6
2022-08-18 00:00:00+00:00,,,15,6
2022-08-19 00:00:00+00:00,,,12,4
2022-08-20 00:00:00+00:00,,,12,5
2022-08-21 00:00:00+00:00,,,15,6
