time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-09 00:00:00+00:00,,,27,10
2022-07-10 00:00:00+00:00,,,18,9
2022-07-11 00:00:00+00:00,,,10,5
2022-07-12 00:00:00+00:00,,,7,4
2022-07-13 00:00:00+00:00,,,22,7
2022-07-14 00:00:00+00:00,,,38,10
2022-07-15 00:00:00+00:00,,,22,7
2022-07-16 00:00:00+00:00,,,30,4
2022-07-17 00:00:00+00:00,,,39,8
2022-07-18 00:00:00+00:00,1.0,1.0,35,5
2022-07-19 00:00:00+00:00,,,74,9
2022-07-20 00:00:00+00:00,,,36,5
2022-07-21 00:00:00+00:00,,,17,6
2022-07-22 00:00:00+00:00,,,7,2
