referrer,views_total,views_unique
anticope.ml,81,36
javarepos.com,37,20
github.com,22,7
Google,5,2
DuckDuckGo,3,2
meteor-addons-website.vercel.app,2,1
au.search.yahoo.com,1,1
Bing,1,1
