time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-15 00:00:00+00:00,3.0,2.0,121,49
2022-04-16 00:00:00+00:00,1.0,1.0,103,44
2022-04-17 00:00:00+00:00,,,84,29
2022-04-18 00:00:00+00:00,1.0,1.0,103,27
2022-04-19 00:00:00+00:00,1.0,1.0,52,15
2022-04-20 00:00:00+00:00,,,51,19
2022-04-21 00:00:00+00:00,,,34,13
2022-04-22 00:00:00+00:00,3.0,2.0,130,15
2022-04-23 00:00:00+00:00,,,41,20
2022-04-24 00:00:00+00:00,2.0,1.0,43,25
2022-04-25 00:00:00+00:00,1.0,1.0,24,12
2022-04-26 00:00:00+00:00,,,31,15
2022-04-27 00:00:00+00:00,,,30,11
2022-04-28 00:00:00+00:00,,,33,14
