time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-25 00:00:00+00:00,1.0,1.0,108,36
2022-03-26 00:00:00+00:00,1.0,1.0,157,43
2022-03-27 00:00:00+00:00,1.0,1.0,101,33
2022-03-28 00:00:00+00:00,,,24,14
2022-03-29 00:00:00+00:00,,,76,22
2022-03-30 00:00:00+00:00,,,48,18
2022-03-31 00:00:00+00:00,,,44,20
2022-04-01 00:00:00+00:00,,,98,18
2022-04-02 00:00:00+00:00,,,66,22
2022-04-03 00:00:00+00:00,1.0,1.0,117,31
2022-04-04 00:00:00+00:00,,,106,23
2022-04-05 00:00:00+00:00,2.0,2.0,54,17
2022-04-06 00:00:00+00:00,1.0,1.0,40,16
2022-04-07 00:00:00+00:00,1.0,1.0,31,13
