url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,198,116
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,120,75
/Declipsonator/Meteor-Tweaks/releases,114,72
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,26,5
/Declipsonator/Meteor-Tweaks/tree/main,22,17
/Declipsonator/Meteor-Tweaks/issues,16,9
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,10,3
/Declipsonator/Meteor-Tweaks/tree/main/src/main,8,5
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,7,2
/Declipsonator/Meteor-Tweaks/commit/f21da4a9becb02aee620dd8820fdddcbb59f43ed,5,4
