url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,117,57
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,54,9
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,36,31
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,36,8
/Declipsonator/Meteor-Tweaks/issues,31,6
/Declipsonator/Meteor-Tweaks/tree/main/src/main,26,9
/Declipsonator/Meteor-Tweaks/releases,24,16
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,17,3
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/tweaks,11,2
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,9,2
