url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,214,122
/Declipsonator/Meteor-Tweaks/releases,148,95
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,133,76
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,28,6
/Declipsonator/Meteor-Tweaks/tree/main,23,17
/Declipsonator/Meteor-Tweaks/issues,15,9
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,11,4
/Declipsonator/Meteor-Tweaks/tree/main/src/main,9,6
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,7,2
/Declipsonator/Meteor-Tweaks/issues/11,5,5
