url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,256,134
/Declipsonator/Meteor-Tweaks/releases,183,114
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,83,46
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.0,75,53
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,37,10
/Declipsonator/Meteor-Tweaks/tree/main/src/main,33,11
/Declipsonator/Meteor-Tweaks/issues,30,22
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,26,5
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,19,7
/Declipsonator/Meteor-Tweaks/tree/main,14,9
