time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-21 00:00:00+00:00,,,50,14
2022-05-22 00:00:00+00:00,,,21,14
2022-05-23 00:00:00+00:00,1.0,1.0,40,10
2022-05-24 00:00:00+00:00,,,5,4
2022-05-25 00:00:00+00:00,,,6,6
2022-05-26 00:00:00+00:00,,,7,5
2022-05-27 00:00:00+00:00,,,47,14
2022-05-28 00:00:00+00:00,,,27,8
2022-05-29 00:00:00+00:00,,,10,6
2022-05-30 00:00:00+00:00,,,14,9
2022-05-31 00:00:00+00:00,,,42,10
2022-06-01 00:00:00+00:00,,,13,5
2022-06-02 00:00:00+00:00,,,10,5
2022-06-03 00:00:00+00:00,,,4,4
