referrer,views_total,views_unique
anticope.ml,149,39
javarepos.com,35,22
github.com,30,16
DuckDuckGo,5,1
Google,3,2
meteor-addons-website.vercel.app,2,1
au.search.yahoo.com,1,1
Bing,1,1
