referrer,views_total,views_unique
anticope.ml,243,65
github.com,93,32
javarepos.com,55,21
DuckDuckGo,7,5
Bing,6,5
Google,6,3
meteor-addons-website.vercel.app,2,1
cn.bing.com,1,1
Yahoo,1,1
