url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,57,40
/Declipsonator/Meteor-Tweaks/releases,20,13
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,17,4
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,12,11
/Declipsonator/Meteor-Tweaks/issues,11,2
/Declipsonator/Meteor-Tweaks/tree/main/src/main,7,4
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,5,3
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/hud,3,1
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,3,1
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/MeteorTweaks.java,2,2
