url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,121,70
/Declipsonator/Meteor-Tweaks/releases,41,25
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,37,30
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,37,9
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,27,7
/Declipsonator/Meteor-Tweaks/tree/main/src/main,24,9
/Declipsonator/Meteor-Tweaks/issues,15,7
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/modules/Scaffold.java,8,5
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/modules/AutoSign.java,7,4
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,6,2
