url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,646,310
/Declipsonator/Meteor-Tweaks/releases/tag/v1.1.7,202,142
/Declipsonator/Meteor-Tweaks/releases,180,109
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,70,22
/Declipsonator/Meteor-Tweaks/issues,53,27
/Declipsonator/Meteor-Tweaks/releases/tag/v1.1.8,51,42
/Declipsonator/Meteor-Tweaks/tree/main/src/main,46,22
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,38,18
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,35,10
/Declipsonator/Meteor-Tweaks/tree/main/src/main/resources,30,5
