referrer,views_total,views_unique
anticope.ml,163,63
github.com,130,26
javarepos.com,114,29
Bing,6,4
DuckDuckGo,3,2
Google,3,1
yandex.ru,2,2
Yahoo,1,1
grep.app,1,1
