referrer,views_total,views_unique
anticope.ml,88,27
github.com,15,9
javarepos.com,14,7
bytemeta.vip,6,1
Google,4,3
hub.fastgit.xyz,4,1
Bing,3,2
cn.bing.com,3,2
search.brave.com,2,1
Yahoo,2,1
