url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,109,54
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,45,8
/Declipsonator/Meteor-Tweaks/issues,42,9
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,32,7
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,26,24
/Declipsonator/Meteor-Tweaks/tree/main/src/main,25,8
/Declipsonator/Meteor-Tweaks/releases,20,13
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,15,3
/Declipsonator/Meteor-Tweaks/issues/18,10,8
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,9,2
