url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,101,65
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,46,32
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,26,11
/Declipsonator/Meteor-Tweaks/releases,20,12
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,16,9
/Declipsonator/Meteor-Tweaks/tree/main/src/main,15,12
/Declipsonator/Meteor-Tweaks/issues,11,6
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/utils,8,1
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/commands,7,3
/Declipsonator/Meteor-Tweaks/tags,7,1
