url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,125,69
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,39,10
/Declipsonator/Meteor-Tweaks/releases,36,23
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,34,28
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,32,8
/Declipsonator/Meteor-Tweaks/tree/main/src/main,25,10
/Declipsonator/Meteor-Tweaks/issues,18,9
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/modules/Scaffold.java,8,5
/Declipsonator/Meteor-Tweaks/issues/18,7,6
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/modules/AutoSign.java,7,4
