url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,259,157
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.0,166,119
/Declipsonator/Meteor-Tweaks/releases,88,52
/Declipsonator/Meteor-Tweaks/tree/main/src/main,36,17
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,36,15
/Declipsonator/Meteor-Tweaks/issues,25,24
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,19,4
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,16,4
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,14,11
/Declipsonator/Meteor-Tweaks/tree/v2.0.0,9,6
