url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,47,37
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,14,6
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,10,5
/Declipsonator/Meteor-Tweaks/tree/main/src/main,9,6
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,8,8
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,6,2
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,6,2
/Declipsonator/Meteor-Tweaks/releases,5,4
/Declipsonator/Meteor-Tweaks/issues,5,3
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor/NotifierMixin.java,4,1
