url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,64,46
/Declipsonator/Meteor-Tweaks/releases,24,11
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,18,18
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,8,3
/Declipsonator/Meteor-Tweaks/tree/main/src/main,6,3
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,6,2
/Declipsonator/Meteor-Tweaks/issues,3,3
/Declipsonator/Meteor-Tweaks/tree/v2.0.1,3,2
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/modules/MultiTask.java,3,1
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/modules/DeathExplore.java,2,2
