url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,641,305
/Declipsonator/Meteor-Tweaks/releases,224,119
/Declipsonator/Meteor-Tweaks/releases/tag/v1.1.7,146,102
/Declipsonator/Meteor-Tweaks/releases/tag/v1.1.9,109,75
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,59,17
/Declipsonator/Meteor-Tweaks/releases/tag/v1.1.8,51,42
/Declipsonator/Meteor-Tweaks/issues,50,24
/Declipsonator/Meteor-Tweaks/tree/main/src/main,40,17
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,34,12
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,26,4
