time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-31 00:00:00+00:00,,,42,10
2022-06-01 00:00:00+00:00,,,13,5
2022-06-02 00:00:00+00:00,,,10,5
2022-06-03 00:00:00+00:00,,,5,5
2022-06-04 00:00:00+00:00,,,36,8
2022-06-05 00:00:00+00:00,,,20,7
2022-06-06 00:00:00+00:00,,,104,8
2022-06-07 00:00:00+00:00,,,40,8
2022-06-08 00:00:00+00:00,,,22,10
2022-06-09 00:00:00+00:00,1.0,1.0,6,5
2022-06-10 00:00:00+00:00,,,43,8
2022-06-11 00:00:00+00:00,1.0,1.0,34,7
2022-06-12 00:00:00+00:00,,,18,9
2022-06-13 00:00:00+00:00,2.0,2.0,14,6
